item_id,b
Item097,1.6463336741432206
Item098,-1.695248063062881
Item100,1.4034853980737325
Item101,-1.8838091746390107
Item104,-0.6091906545554201
Item105,-0.8747333807687581
Item106,2.1169820685365015
Item107,-0.6542470255681422
Item108,2.743612363186101
Item109,0.5582136874221715
Item115,-1.7952690355531131
Item116,0.46947688970943485
Item117,1.5078585844315586
Item118,-1.8084430708097885
Item119,-3.568781256828137
Item120,3.9347756797750453
Item121,2.230816295945355
Item122,0.8030725406471644
Item123,-2.553053313660373
Item124,-3.7257096948220374
Item125,2.7215209947245906
Item126,-1.8280871387658115
Item127,-0.006738171292923176
Item128,3.83660951134082
Item129,1.4504439372396865
Item130,2.5366627584830943
Item131,0.400696400613216
Item132,4.073395758617543
Item133,-0.2476554741342023
Item134,-1.0789631420278372
Item135,-1.2332445985196498
Item136,-0.05819735698571385
Item137,-2.1961754438244614
Item140,1.7508874786386577
Item141,0.1430351910733566
Item142,-1.6986739426537492
Item143,1.2762707547626937
Item144,-2.793925989021819
Item157,-0.13817759474570626
Item158,-0.29754707169056543
Item159,-1.4218065859589741
Item160,1.6118151483535395
Item162,-0.7761874211353745
Item163,1.778205441515598
Item164,2.046864218801538
Item166,-0.6863826548060653
Item167,1.0712941546182642
Item168,-0.5623805952487058
Item145,2.1530294997480057
Item147,-0.1359940654862574
Item148,3.1142735045161616
Item150,-0.34385216040112077
Item151,-0.49323952135507587
Item152,-0.7355030071739773
Item153,-0.879661365911055
Item154,1.16270076950973
Item155,0.5790188702422284
Item156,2.690884341236131
Item183,-0.11056107068264086
Item184,1.41396984969377
Item185,0.5132823486743621
Item186,2.185048594415495
Item187,2.1851051771375514
Item188,3.578073614432253
Item189,-0.1081652979218117
Item190,2.5828071926236658
Item191,3.5781240021916805
Item192,0.9956037171416404
